Date,IA,IL,IN,MI,MN,MO,OH,WI,CO,ID,NV,UT,WY,CT,DC,DE,MA,MD,NJ,NY,RI,PA,AL,AZ,CA,FL,LA,MS,NM,TX,AR,GA,KY,NC,SC,TN,VA,WV,KS,MT,ND,NE,OK,SD,CA,OR,WA,NH,VT,ME,AK,HI
03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2020,0.000,0.000,0.000,0.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0.565,0,0.000,0.000,0.000,0.000
03/03/2020,0.000,0.000,0.000,0.501,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.005,0.189,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0.775,0,0.000,0.000,0.000,0.000
03/04/2020,0.000,0.032,0.000,0.741,0.000,0.000,0.000,0.017,0.035,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.005,0.189,0.000,0.000,0.027,0.134,0.014,0.000,0.000,0,0.000,0.000,0.019,0.000,0.010,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.134,0.000,1.221,0.147,0.000,0.000,0.000,0.000
03/05/2020,0.000,0.039,0.000,1.001,0.000,0.000,0.000,0.017,0.035,0.000,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.015,0.283,0.000,0.000,0.027,0.134,0.033,0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.010,0.000,0.015,0.000,0,0.000,0.000,0,0.000,0.000,0,0.134,0.071,1.536,0.147,0.000,0.000,0.000,0.000
03/06/2020,0.000,0.039,0.015,1.402,0.018,0.000,0.000,0.017,0.139,0.000,0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.045,0.129,0.283,0.016,0.000,0.041,0.152,0.037,0.000,0.000,0.000,0.017,0.000,0.019,0.000,0.019,0.000,0.015,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.152,0.071,2.035,0.147,0.000,0.000,0.000,0.000
03/07/2020,0.000,0.047,0.015,1.882,0.035,0.000,0.000,0.017,0.139,0.000,0.130,0.031,0.000,0.000,0.000,0.000,0.000,0.050,0.045,0.185,0.283,0.031,0.000,0.069,0.175,0.037,0.000,0.000,0.000,0.017,0.000,0.057,0.022,0.019,0.039,0.015,0.000,0.000,0.000,0.000,0.000,0.052,0.025,0.000,0.175,0.071,2.705,0.147,0.000,0.000,0.000,0.071
03/08/2020,0.000,0.047,0.030,2.513,0.035,0.016,0.000,0.017,0.156,0.000,0.130,0.031,0.000,0.028,0.142,0.000,0.000,0.050,0.068,0.308,0.283,0.047,0.000,0.069,0.223,0.056,0.000,0.000,0.000,0.017,0.000,0.066,0.022,0.019,0.039,0.044,0.023,0.000,0.034,0.000,0.000,0.052,0.025,0.000,0.223,0.166,3.204,0.294,0.160,0.000,0.000,0.071
03/09/2020,0.095,0.055,0.030,3.725,0.089,0.016,0.026,0.017,0.208,0.000,0.162,0.031,0.000,0.028,0.142,0.000,0.000,0.083,0.169,0.452,0.378,0.078,0.000,0.069,0.289,0.061,0.022,0.000,0.000,0.041,0.000,0.113,0.090,0.019,0.136,0.044,0.035,0.000,0.034,0.000,0.000,0.155,0.025,0.000,0.289,0.332,3.703,0.294,0.160,0.000,0.000,0.141
03/10/2020,0.254,0.150,0.089,5.287,0.195,0.016,0.026,0.034,0.486,0.000,0.162,0.062,0.000,0.056,0.708,0.000,0.000,0.099,0.180,0.776,0.472,0.094,0.000,0.082,0.337,0.084,0.022,0.000,0.143,0.052,0.000,0.160,0.134,0.067,0.136,0.102,0.094,0.000,0.034,0.000,0.000,0.155,0.051,0.000,0.337,0.332,4.504,0.294,0.160,0.000,0.000,0.141
