Date,IA,IL,IN,MI,MN,MO,OH,WI,CO,ID,NV,UT,WY,CT,DC,DE,MA,MD,NJ,NY,RI,PA,AL,AZ,CA,FL,LA,MS,NM,TX,AR,GA,KY,NC,SC,TN,VA,WV,KS,MT,ND,NE,OK,SD,CA,OR,WA,NH,VT,ME,AK,HI
03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2020,0.000,0.000,0.000,27.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,43.000,0,0.000,0.000,0.000,0.000
03/03/2020,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,1.000,2.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,59.000,0,0.000,0.000,0.000,0.000
03/04/2020,0.000,4.000,0.000,74.000,0.000,0.000,0.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,1.000,2.000,0.000,0.000,2.000,53.000,3.000,0.000,0.000,0,0.000,0.000,2.000,0.000,1.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,53.000,0.000,93.000,2.000,0.000,0.000,0.000,0.000
03/05/2020,0.000,5.000,0.000,100.000,0.000,0.000,0.000,1.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,3.000,3.000,0.000,0.000,2.000,53.000,7.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,0,0.000,0.000,0,0.000,0.000,0,53.000,3.000,117.000,2.000,0.000,0.000,0.000,0.000
03/06/2020,0.000,5.000,1.000,140.000,1.000,0.000,0.000,1.000,8.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,4.000,25.000,3.000,2.000,0.000,3.000,60.000,8.000,0.000,0.000,0.000,5.000,0.000,2.000,0.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0,60.000,3.000,155.000,2.000,0.000,0.000,0.000,0.000
03/07/2020,0.000,6.000,1.000,188.000,2.000,0.000,0.000,1.000,8.000,0.000,4.000,1.000,0.000,0.000,0.000,0.000,0.000,3.000,4.000,36.000,3.000,4.000,0.000,5.000,69.000,8.000,0.000,0.000,0.000,5.000,0.000,6.000,1.000,2.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,69.000,3.000,206.000,2.000,0.000,0.000,0.000,1.000
03/08/2020,0.000,6.000,2.000,251.000,2.000,1.000,0.000,1.000,9.000,0.000,4.000,1.000,0.000,1.000,1.000,0.000,0.000,3.000,6.000,60.000,3.000,6.000,0.000,5.000,88.000,12.000,0.000,0.000,0.000,5.000,0.000,7.000,1.000,2.000,2.000,3.000,2.000,0.000,1.000,0.000,0.000,1.000,1.000,0.000,88.000,7.000,244.000,4.000,1.000,0.000,0.000,1.000
03/09/2020,3.000,7.000,2.000,372.000,5.000,1.000,3.000,1.000,12.000,0.000,5.000,1.000,0.000,1.000,1.000,0.000,0.000,5.000,15.000,88.000,4.000,10.000,0.000,5.000,114.000,13.000,1.000,0.000,0.000,12.000,0.000,12.000,4.000,2.000,7.000,3.000,3.000,0.000,1.000,0.000,0.000,3.000,1.000,0.000,114.000,14.000,282.000,4.000,1.000,0.000,0.000,2.000
03/10/2020,8.000,19.000,6.000,528.000,11.000,1.000,3.000,2.000,28.000,0.000,5.000,2.000,0.000,2.000,5.000,0.000,0.000,6.000,16.000,151.000,5.000,12.000,0.000,6.000,133.000,18.000,1.000,0.000,3.000,15.000,0.000,17.000,6.000,7.000,7.000,7.000,8.000,0.000,1.000,0.000,0.000,3.000,2.000,0.000,133.000,14.000,343.000,4.000,1.000,0.000,0.000,2.000
