Date,IA,IL,IN,MI,MN,MO,OH,WI,CO,ID,NV,UT,WY,CT,DC,DE,MA,MD,NJ,NY,RI,PA,AL,AZ,CA,FL,LA,MS,NM,TX,AR,GA,KY,NC,SC,TN,VA,WV,KS,MT,ND,NE,OK,SD,CA,OR,WA,NH,VT,ME,AK,HI
03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0.144,0,0.000,0.000,0.000,0.000
03/03/2020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0.184,0,0.000,0.000,0.000,0.000
03/04/2020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0.210,0.000,0.000,0.000,0.000,0.000
03/05/2020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0.263,0.000,0.000,0.000,0.000,0.000
03/06/2020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0.341,0.000,0.000,0.000,0.000,0.000
03/07/2020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.355,0.000,0.000,0.000,0.000,0.000
03/08/2020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.407,0.000,0.000,0.000,0.000,0.000
03/09/2020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.460,0.000,0.000,0.000,0.000,0.000
03/10/2020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.486,0.000,0.000,0.000,0.000,0.000
03/11/2020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.525,0.000,0.000,0.000,0.000,0.000
03/12/2020,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.010,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.578,0.000,0.000,0.000,0.000,0.000
03/13/2020,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.010,0.009,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.617,0.000,0.000,0.000,0.000,0.000
03/14/2020,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.013,0.014,0.000,0.000,0.000,0.000,0.000,0.009,0.022,0.000,0.000,0.000,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.670,0.000,0.000,0.000,0.000,0.000
03/15/2020,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.017,0.000,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.015,0.000,0.000,0.000,0.000,0.013,0.019,0.043,0.000,0.000,0.000,0.000,0.009,0.022,0.000,0.000,0.000,0.012,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.749,0.000,0.000,0.000,0.000,0.000
03/16/2020,0.000,0.000,0.015,0.020,0.000,0.000,0.000,0.000,0.017,0.000,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.023,0.036,0.000,0.000,0.000,0.000,0.015,0.019,0.043,0.000,0.000,0.000,0.000,0.009,0.022,0.000,0.019,0.000,0.012,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.906,0.000,0.000,0.000,0.000,0.000
03/17/2020,0.000,0.008,0.030,0.020,0.000,0.000,0.000,0.000,0.035,0.000,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.045,0.036,0.000,0.000,0.000,0.000,0.028,0.028,0.086,0.000,0.000,0.003,0.000,0.009,0.022,0.000,0.019,0.000,0.012,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.028,0.000,1.024,0.000,0.000,0.000,0.000,0.000
03/18/2020,0.000,0.008,0.030,0.050,0.000,0.000,0.000,0.000,0.035,0.000,0.065,0.000,0.000,0.000,0.000,0.000,0.029,0.033,0.079,0.062,0.000,0.008,0.000,0.000,0.033,0.033,0.129,0.000,0.000,0.007,0.000,0.009,0.022,0.000,0.019,0.000,0.012,0.000,0.034,0.000,0.000,0.000,0.000,0.113,0.033,0.000,1.077,0.000,0.000,0.000,0.000,0.000
03/19/2020,0.000,0.032,0.030,0.100,0.000,0.016,0.000,0.000,0.035,0.000,0.097,0.000,0.000,0.028,0.000,0.000,0.043,0.033,0.146,0.062,0.000,0.008,0.000,0.000,0.046,0.037,0.172,0.000,0.000,0.010,0.000,0.094,0.022,0.000,0.019,0.000,0.023,0.000,0.034,0.000,0.000,0.000,0.025,0.113,0.046,0.071,1.208,0.000,0.000,0.000,0.000,0.000
03/20/2020,0.000,0.039,0.030,0.130,0.000,0.016,0.009,0.052,0.069,0.000,0.097,0.000,0.000,0.084,0.142,0.000,0.072,0.050,0.180,0.180,0.000,0.008,0.000,0.000,0.051,0.047,0.258,0.034,0.000,0.017,0.000,0.122,0.022,0.000,0.019,0.000,0.023,0.000,0.034,0.000,0.000,0.000,0.025,0.113,0.051,0.071,1.366,0.000,0.321,0.000,0.000,0.000
03/21/2020,0.000,0.047,0.059,0.230,0.018,0.049,0.026,0.069,0.087,0.000,0.162,0.000,0.000,0.112,0.142,0.000,0.101,0.050,0.248,0.226,0.000,0.016,0.000,0.014,0.061,0.056,0.344,0.034,0.000,0.017,0.000,0.132,0.045,0.000,0.019,0.000,0.023,0.000,0.069,0.000,0.000,0.000,0.025,0.113,0.061,0.071,1.458,0.000,0.321,0.000,0.000,0.000
03/22/2020,0.000,0.071,0.089,0.360,0.018,0.049,0.026,0.069,0.104,0.000,0.227,0.031,0.000,0.140,0.142,0.000,0.158,0.066,0.326,0.586,0.000,0.016,0.000,0.027,0.068,0.061,0.430,0.034,0.000,0.017,0.000,0.217,0.067,0.000,0.058,0.000,0.035,0.000,0.069,0.000,0.000,0.000,0.051,0.113,0.068,0.071,1.655,0.000,0.321,0.000,0.000,0.000
03/23/2020,0.000,0.095,0.104,0.571,0.018,0.049,0.051,0.086,0.122,0.000,0.260,0.031,0.000,0.280,0.283,0.000,0.245,0.066,0.450,0.586,0.000,0.047,0.000,0.027,0.068,0.065,0.731,0.034,0.000,0.028,0.000,0.235,0.067,0.000,0.097,0.029,0.070,0.000,0.069,0.000,0.000,0.000,0.051,0.113,0.068,0.095,1.799,0.000,0.801,0.000,0.000,0.000
03/24/2020,0.000,0.126,0.178,0.861,0.018,0.049,0.068,0.086,0.191,0.000,0.422,0.031,0.000,0.337,0.283,0.103,0.374,0.083,0.676,1.079,0.000,0.055,0.000,0.069,0.101,0.084,0.990,0.034,0.048,0.031,0.000,0.301,0.090,0.000,0.097,0.029,0.082,0.000,0.069,0.000,0.000,0.000,0.076,0.113,0.101,0.119,1.917,0.074,1.122,0.000,0.000,0.000
03/25/2020,0.032,0.150,0.208,1.111,0.018,0.130,0.086,0.120,0.330,0.000,0.422,0.031,0.000,0.533,0.283,0.205,0.475,0.083,0.912,1.465,0.000,0.086,0.000,0.082,0.134,0.102,1.398,0.067,0.048,0.041,0.066,0.377,0.090,0.010,0.136,0.044,0.105,0.000,0.103,0.000,0.000,0.000,0.126,0.113,0.134,0.190,2.088,0.074,1.282,0.000,0.137,0.000
03/26/2020,0.032,0.205,0.253,1.592,0.035,0.130,0.128,0.137,0.417,0.000,0.552,0.031,0.000,0.589,0.425,0.308,0.604,0.116,1.216,1.979,0.000,0.125,0.020,0.110,0.165,0.130,1.785,0.202,0.048,0.062,0.099,0.452,0.090,0.019,0.175,0.044,0.152,0.000,0.103,0.000,0.000,0.000,0.177,0.113,0.165,0.190,2.403,0.074,1.442,0.000,0.137,0.000
03/27/2020,0.095,0.268,0.356,2.123,0.071,0.130,0.163,0.223,0.538,0.167,0.682,0.062,0.000,0.757,0.425,0.513,0.820,0.165,1.576,2.668,0.000,0.172,0.061,0.179,0.197,0.158,2.560,0.269,0.048,0.079,0.099,0.603,0.134,0.029,0.175,0.088,0.164,0.000,0.137,0.000,0.000,0.000,0.202,0.113,0.197,0.261,2.613,0.074,1.603,0.074,0.137,0.000
03/28/2020,0.095,0.371,0.460,2.834,0.089,0.163,0.214,0.223,0.764,0.223,0.812,0.062,0.000,0.926,0.567,0.924,1.036,0.281,2.150,3.742,0.000,0.266,0.061,0.206,0.256,0.251,2.947,0.437,0.095,0.093,0.166,0.650,0.179,0.038,0.252,0.088,0.199,0.000,0.172,0.094,0.131,0.103,0.379,0.113,0.256,0.285,2.889,0.147,1.923,0.074,0.273,0.000
03/29/2020,0.127,0.513,0.475,3.515,0.160,0.163,0.248,0.223,0.816,0.279,0.909,0.062,0.000,0.954,0.708,1.027,1.425,0.397,2.443,4.961,0.283,0.297,0.082,0.234,0.311,0.261,3.248,0.470,0.095,0.117,0.199,0.753,0.201,0.038,0.311,0.102,0.258,0.000,0.206,0.094,0.131,0.103,0.404,0.113,0.311,0.308,3.112,0.147,1.923,0.223,0.273,0.000
03/30/2020,0.190,0.576,0.520,4.376,0.177,0.212,0.334,0.240,0.886,0.335,1.039,0.125,0.000,1.010,1.275,1.130,1.784,0.579,2.995,6.261,0.378,0.383,0.122,0.275,0.337,0.293,3.980,0.538,0.191,0.117,0.232,0.819,0.201,0.057,0.350,0.190,0.293,0.056,0.275,0.374,0.262,0.103,0.430,0.113,0.337,0.308,3.257,0.221,1.923,0.223,0.410,0.000
03/31/2020,0.222,0.781,0.728,5.517,0.213,0.228,0.471,0.275,1.198,0.391,1.201,0.156,0.000,1.935,1.275,1.232,2.202,0.711,4.098,7.968,0.755,0.492,0.265,0.330,0.387,0.359,5.141,0.672,0.238,0.141,0.265,1.045,0.246,0.076,0.427,0.337,0.316,0.056,0.309,0.374,0.394,0.155,0.581,0.113,0.387,0.379,3.441,0.221,2.083,0.372,0.410,0.000
